Date,Location,Latitude,Longitude,County.Code,Contaminant,State,Measure,Units
1991-11-06,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Dissolved,210,ug/l
1991-11-06,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Dissolved,1900,ug/l
1991-11-06,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,NA,
1991-11-06,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sulfate as SO4,Dissolved,520,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Total,20000,ug/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Dissolved,18700,ug/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Dissolved,1.1,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Total,1.1,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Dissolved,6070,ug/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Total,67,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Chloride,Dissolved,2.6,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Dissolved,65,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Total,6500,ug/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Dissolved,63,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,518,ug/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Total,980,ug/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Total,3.8,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Dissolved,3.4,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Total,65,mg/l
2000-02-22,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sulfate as SO4,Dissolved,410,mg/l
2002-10-08,Pine Knot Discharge,40.7040944,-76.2498944,107,Manganese,Dissolved,4.37,mg/l
2002-10-08,Pine Knot Discharge,40.7040944,-76.2498944,107,Iron,Total,10.1,mg/l
2002-10-08,Pine Knot Discharge,40.7040944,-76.2498944,107,Manganese,Total,4.402,mg/l
2002-10-08,Pine Knot Discharge,40.7040944,-76.2498944,107,Iron,Dissolved,10.11,mg/l
2002-10-08,Pine Knot Discharge,40.7040944,-76.2498944,107,Aluminum,Total,1.126,mg/l
2002-10-08,Pine Knot Discharge,40.7040944,-76.2498944,107,Aluminum,Dissolved,1.22,mg/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Total,17400,ug/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Total,1.3,mg/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Total,66,mg/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Total,62.2,mg/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Total,5960,ug/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,NA,
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Nickel,Total,92,mg/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Total,122,mg/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Total,670,ug/l
2002-11-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Total,3.75,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Total,16800,ug/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Dissolved,1.3,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Dissolved,61.4,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Nickel,Total,90,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Dissolved,126,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Dissolved,17600,ug/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Dissolved,64.7,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Total,5820,ug/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Total,1.3,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Total,60.4,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Nickel,Dissolved,91,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Total,122,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Dissolved,5840,ug/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Total,645,ug/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,430,ug/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Total,3.7,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Dissolved,3.75,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Total,64.3,mg/l
2002-11-26,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sulfate as SO4,Dissolved,420,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Dissolved,1.35,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Dissolved,15900,ug/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Total,16700,ug/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Dissolved,5610,ug/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Total,5650,ug/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Potassium,Total,1.35,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Dissolved,57,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Total,57.2,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Dissolved,3.65,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Total,64.4,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Nickel,Dissolved,91,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Nickel,Total,91,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Total,3.65,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Dissolved,147,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Total,146,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Total,705,ug/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,265,ug/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,Dissolved,63,mg/l
2002-12-17,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sulfate as SO4,Dissolved,530,mg/l
2003-10-07,Pine Knot Discharge,40.7040944,-76.2498944,107,Iron,Total,6.55,mg/l
2003-10-07,Pine Knot Discharge,40.7040944,-76.2498944,107,Manganese,Dissolved,2.87,mg/l
2003-10-07,Pine Knot Discharge,40.7040944,-76.2498944,107,Manganese,Total,3.17,mg/l
2003-10-07,Pine Knot Discharge,40.7040944,-76.2498944,107,Iron,Dissolved,5.11,mg/l
2003-10-07,Pine Knot Discharge,40.7040944,-76.2498944,107,Aluminum,Dissolved,0.064,mg/l
2003-10-07,Pine Knot Discharge,40.7040944,-76.2498944,107,Aluminum,Total,0.924,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Dissolved,13.4,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Calcium,,58.16,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Dissolved,4.705,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Total,4.676,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Total,50,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Cadmium,Total,NA,
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Cadmium,Dissolved,NA,
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Total,13.7,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Lead,Total,NA,
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Chloride,Total,NA,
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Total,0.663,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Total,0.14,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Fluoride,Total,0.139,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,0.162,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Total,3.72,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sulfate as SO4,,449.9,mg/l
2004-02-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Bromide,,NA,
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Lead,Total,NA,
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Zinc,Total,0.127,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Iron,Total,3.04,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Iron,Dissolved,1.81,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Fluoride,Total,0.0926,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Cadmium,Total,NA,
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Cadmium,Dissolved,NA,
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Manganese,Dissolved,0.9167,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Manganese,Total,0.979,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Aluminum,Total,1.24,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Aluminum,Dissolved,0.921,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Magnesium,Total,8.64,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Chloride,Total,NA,
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Sodium,Total,0.925,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Calcium,,9.41,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Sulfate as SO4,,79.5,mg/l
2004-02-18,Reevesdale South Dip Tunnel,40.7842333,-76.0080583,107,Bromide,,NA,
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Manganese,Total,2.77,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Lead,Total,NA,
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Zinc,Total,0.124,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Manganese,Dissolved,2.461,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Fluoride,Total,0.1,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Magnesium,Total,46.4,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Aluminum,Dissolved,NA,
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Cadmium,Total,NA,
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Cadmium,Dissolved,NA,
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Iron,Total,7.03,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Iron,Dissolved,5.72,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Aluminum,Total,0.769,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Chloride,Total,8.6,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Sodium,Total,6.36,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Calcium,,43.3,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Sulfate as SO4,,290.8,mg/l
2004-02-18,Pine Knot Discharge,40.7040944,-76.2498944,107,Bromide,,NA,
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Dissolved,11.9,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Iron,Total,13.5,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Dissolved,4.43,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Copper,Total,0.004,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Magnesium,Total,56.8,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Manganese,Total,4.78,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Lead,Total,NA,
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Cadmium,Total,NA,
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Cadmium,Dissolved,NA,
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Sodium,Total,4.44,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Dissolved,0.217,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Aluminum,Total,0.702,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Zinc,Total,0.143,mg/l
2004-05-18,Pine Forest Mine Pump Shaft Discharge,40.71873,-76.17695,107,Chloride,Total,NA,
