"","X","County","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1",1,"Adams",95850,38.6,89435,7172,25821,93.3072509128847,7.48252477829943,2005
"2",2,"Allegheny",1195503,41.4,995431,167355,24309,83.2646174873672,13.9987101663484,2005
"3",3,"Armstrong",69501,42,0,4598,19167,0,6.61573214773888,2005
"4",4,"Beaver",173086,42.8,159484,15326,22034,92.141478802445,8.85455784985499,2005
"5",5,"Berks",382917,38.4,344187,38063,25416,89.8855365523077,9.94027426309096,2005
"6",6,"Blair",122717,40.7,119317,9532,19844,97.2293977199573,7.76746498040206,2005
"7",7,"Bucks",612210,40,557958,90751,32167,91.1383348850884,14.8235082733049,2005
"8",8,"Butler",175561,39.4,171141,24124,25092,97.4823565598282,13.7410928395259,2005
"9",9,"Cambria",138963,43.9,134100,11023,19647,96.5005073292891,7.93232731014731,2005
"10",10,"Centre",124263,29.8,114125,15662,18304,91.8414974690777,12.603912669097,2005
"11",11,"Chester",458141,38.8,405680,84440,36232,88.5491584468537,18.4310070480485,2005
"12",12,"Clearfield",79001,41.4,0,5241,19005,0,6.63409323932608,2005
"13",13,"Crawford",85445,40.1,83217,5879,19212,97.3924746913219,6.88044941190239,2005
"14",14,"Cumberland",208751,40.4,196098,31621,29374,93.9387116708423,15.1477118672485,2005
"15",15,"Dauphin",247379,39.3,188541,27700,27493,76.2154427012802,11.1973934731727,2005
"16",16,"Delaware",531609,39.8,405050,71197,29298,76.1932171953447,13.3927378957091,2005
"17",17,"Erie",266662,38.5,242089,28528,21599,90.7849637368654,10.6981872182763,2005
"18",18,"Fayette",141661,40.8,134165,7530,18200,94.7084942221218,5.31550673791658,2005
"19",19,"Franklin",134409,38.7,127131,8906,25180,94.5851840278553,6.62604438690862,2005
"20",20,"Indiana",83256,37.9,80709,6424,18114,96.9407610262324,7.71596041126165,2005
"21",21,"Lackawanna",201201,41.1,193150,21471,20973,95.9985288343497,10.6714181341047,2005
"22",22,"Lancaster",476155,37.1,435861,48541,26426,91.5376295534017,10.1943694805263,2005
"23",23,"Lawrence",89742,41.9,0,7583,21010,0,8.44977825321477,2005
"24",24,"Lebanon",121054,39.9,113485,11206,26200,93.747418507443,9.25702579014324,2005
"25",25,"Lehigh",319993,39.1,269254,37296,26018,84.1437156437797,11.6552549587022,2005
"26",26,"Luzerne",299279,42.3,285762,28604,20535,95.4834786269668,9.55763685390555,2005
"27",27,"Lycoming",112735,40.5,106194,7948,21202,94.1978977247527,7.0501618840644,2005
"28",28,"Mercer",112981,42,0,10206,21931,0,9.03337729352723,2005
"29",29,"Monroe",159175,37.6,130538,11478,24507,82.0091094707083,7.21093136485001,2005
"30",30,"Montgomery",753046,39.9,638977,126820,35162,84.8523197786058,16.8409366758472,2005
"31",31,"Northampton",276878,39.7,245214,31336,27871,88.5639162374764,11.3176200348168,2005
"32",32,"Northumberland",88726,42.5,86699,5640,20698,97.7154385411266,6.35664855848342,2005
"33",33,"Philadelphia",1406415,35.3,592159,110110,20852,42.1041442248554,7.82912582701407,2005
"34",34,"Schuylkill",139811,42.6,136527,8639,21101,97.6511147191566,6.17905601132958,2005
"35",35,"Somerset",74617,42.5,0,4961,20309,0,6.64861894742485,2005
"36",36,"Washington",200938,41.8,191259,22279,23463,95.1830913017946,11.0874996267505,2005
"37",37,"Westmoreland",358687,43.2,344585,36645,22740,96.0684384993044,10.2164282508148,2005
"38",38,"York",400670,39.5,369116,33720,25738,92.1246911423366,8.41590336186887,2005
"39",1,"Adams",101105,37.6,93264,7652,26072,92.2446961080065,7.56836951683893,2006
"40",2,"Allegheny",1223411,41.7,1012469,164009,24140,82.7578794043866,13.4058791362837,2006
"41",3,"Armstrong",70096,43.1,0,4886,21469,0,6.9704405386898,2006
"42",4,"Beaver",175736,43.3,161360,15752,22549,91.8195475030728,8.96344516775163,2006
"43",5,"Berks",401149,38.1,340569,38096,25306,84.8983794051587,9.49672066987578,2006
"44",6,"Blair",126494,40.4,122538,11029,20250,96.8725789365503,8.71899062406122,2006
"45",7,"Bucks",623205,40.2,568408,91633,32451,91.2072271563932,14.7035084763441,2006
"46",8,"Butler",182901,40.2,178113,23823,24600,97.3821903652796,13.0250791411747,2006
"47",9,"Cambria",146967,42.5,139861,10315,18859,95.164900964162,7.01858240285234,2006
"48",10,"Centre",140953,29.3,126712,15516,16513,89.8966322107369,11.0079246273581,2006
"49",11,"Chester",482112,38.2,423030,90401,34664,87.7451712465153,18.7510371034117,2006
"50",12,"Clearfield",82442,41.3,0,4096,18356,0,4.968341379394,2006
"51",13,"Columbia",65014,38.3,63052,4670,18338,96.9821884517181,7.18306826222044,2006
"52",14,"Crawford",89389,39.3,86123,5904,18268,96.3463065925338,6.60483952164136,2006
"53",15,"Cumberland",226117,40,210628,29265,27272,93.1500064126094,12.9424147675761,2006
"54",16,"Dauphin",254176,39.9,191946,28441,26984,75.5169646229384,11.1894907465693,2006
"55",17,"Delaware",555996,38.8,418865,71471,28719,75.3359736400981,12.8545888819344,2006
"56",18,"Erie",279811,38.3,251757,25769,20639,89.9739466997366,9.20943065140398,2006
"57",19,"Fayette",145760,41.4,0,10046,16730,0,6.89215148188804,2006
"58",20,"Franklin",139991,39.6,132582,9998,26041,94.7075169118015,7.14188769278025,2006
"59",21,"Indiana",88234,37.7,84940,5970,17252,96.2667452455969,6.76609923612213,2006
"60",22,"Lackawanna",209728,41.6,200126,20138,20766,95.4216890448581,9.60196063472688,2006
"61",23,"Lancaster",494486,37.5,450731,49725,26413,91.1514178358943,10.0558964257835,2006
"62",24,"Lawrence",91795,42.9,0,7411,20591,0,8.07342447845743,2006
"63",25,"Lebanon",126883,39.9,116114,10514,25290,91.5126533893429,8.28637406114294,2006
"64",26,"Lehigh",335544,38.9,273984,34693,25132,81.6536728417138,10.3393295663162,2006
"65",27,"Luzerne",313020,42.3,296635,27885,21178,94.7655101910421,8.90837646156795,2006
"66",28,"Lycoming",117668,40.9,109893,10808,19604,93.3924261481456,9.18516504062277,2006
"67",29,"Mercer",118551,41,109862,10165,20022,92.6706649458883,8.5743688370406,2006
"68",30,"Monroe",165685,37.5,134688,18916,23242,81.2916075685789,11.416845218336,2006
"69",31,"Montgomery",775688,40.1,656682,136016,35023,84.6580068274873,17.5348851600128,2006
"70",32,"Northampton",291306,39.4,255291,31036,26673,87.6367119111862,10.6540888275559,2006
"71",33,"Northumberland",91654,42.5,88358,5535,20329,96.4038667161281,6.03901630043424,2006
"72",34,"Philadelphia",1448394,35.4,605796,110680,20117,41.8253596742323,7.64156714264213,2006
"73",35,"Schuylkill",147405,42,140684,7969,20099,95.4404531732302,5.40619381974831,2006
"74",36,"Somerset",78508,42.2,0,4475,17287,0,5.7000560452438,2006
"75",37,"Washington",206432,42.4,195685,22635,23730,94.7939272980933,10.9648697876298,2006
"76",38,"Westmoreland",366440,43.3,351771,41790,22698,95.9968889859186,11.4043226721974,2006
"77",39,"York",416322,39.4,381658,39851,27073,91.6737525280912,9.57215808917136,2006
"78",1,"Adams",100779,38.5,94455,9025,26019,93.7248831601822,8.95523869060022,2007
"79",2,"Allegheny",1219210,41.8,1007644,165852,25327,82.6472879979659,13.6032348816037,2007
"80",3,"Armstrong",69059,43.4,0,5456,20608,0,7.90049088460592,2007
"81",4,"Beaver",173074,43.8,159176,16573,22965,91.9699088251268,9.57567283358563,2007
"82",5,"Berks",401955,38.2,340568,38508,26385,84.7278924257691,9.58017688547225,2007
"83",6,"Blair",125527,41.5,121467,10107,22239,96.7656360782939,8.05165422578409,2007
"84",7,"Bucks",621144,40.5,565748,86139,32055,91.0816171451387,13.8677987712994,2007
"85",8,"Butler",181934,40,176629,23589,25659,97.0841074235712,12.9656908549254,2007
