"","County","Year","sum.coal.production","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Year.Max.Production","sum.coal.prod"
"1","-",1983,944,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"2","-",1984,5943,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"3","-",1985,8391,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"4","-",1986,12023,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"5","-",1987,16264,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"6","-",1988,19215,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"7","-",1989,6245,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"8","-",1990,25344,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"9","-",1991,27243,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"10","-",1992,28490,944,5943,8391,12023,16264,19215,6245,25344,27243,28490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989.05692795566,150102
"11","Allegheny",1983,12696,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"12","Allegheny",1984,34641,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"13","Allegheny",1985,39470,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"14","Allegheny",1986,150037,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"15","Allegheny",1987,143338,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"16","Allegheny",1988,164842,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"17","Allegheny",1989,155777,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"18","Allegheny",1990,221152,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"19","Allegheny",1991,250029,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"20","Allegheny",1992,169463,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"21","Allegheny",1993,182999,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"22","Allegheny",1994,222589,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"23","Allegheny",1995,144025,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"24","Allegheny",1996,19192,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"25","Allegheny",1997,42886,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"26","Allegheny",1998,27519,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"27","Allegheny",1999,52897,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"28","Allegheny",2000,13399,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"29","Allegheny",2001,10547,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"30","Allegheny",2002,19236,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"31","Allegheny",2003,9604,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"32","Allegheny",2004,33052,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"33","Allegheny",2005,48036,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"34","Allegheny",2006,99369,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
"35","Allegheny",2007,107511,12696,34641,39470,150037,143338,164842,155777,221152,250029,169463,182999,222589,144025,19192,42886,27519,52897,13399,10547,19236,9604,33052,48036,99369,107511,128281,119974,171674,162974,120017,89703,70689,74316,37811,58782,24327,0,0,0,1998.74220226086,3432854
