"","County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year","sum.coal.prod","year.from.peak.2019","totpop","medage","totpopwhite","bachdegree","medincome","perc.white","perc.bachdegree"
"1","Adams",-0.66,12,-0.54,9,2019,"0","37",103009,44.3,95929,8696,30717,93.1268141618693,8.44198079779437
"2","Allegheny",0.12,34,-0.03,25,2019,"0","37",1216045,40.5,965716,219464,37278,79.4144953517345,18.0473584447944
"3","Armstrong",0.62,59,0.27,49,2019,"31591514","17.6744436813001",64735,47.3,0,5305,30427,0,8.19494863674983
"4","Beaver",0.37,48,0.16,45,2019,"0","37",163929,45.3,147858,21231,32449,90.196365499698,12.9513386893106
"5","Bedford",-0.58,14,-0.09,23,2019,"1481641","12.6368330789983",NA,NA,NA,NA,NA,NA,NA
"6","Berks",0.02,32,-0.02,29,2019,"1208460","10.9333333333334",421164,39.9,338473,46869,32628,80.3660806716623,11.128444026555
"7","Blair",0.41,51,0.07,37,2019,"0","37",121829,43.1,0,13087,29996,0,10.742105738371
"8","Bradford",-0.16,24,0.14,43,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"9","Bucks",-1.01,6,-1.01,2,2019,"0","37",628270,44,544515,112760,43303,86.6689480637306,17.9476976459166
"10","Butler",-1.01,7,-0.67,7,2019,"6959278","21.5727030878777",187853,43.8,180218,32941,37181,95.9356518128537,17.5355197947331
"11","Cambria",1.5,65,0.35,56,2019,"17956284","15.0156966218624",130192,46.3,121803,12408,26776,93.5564397197985,9.53053951087624
"12","Cameron",-0.38,19,0.1,41,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"13","Carbon",0.45,52,0.3,51,2019,"917851","4.29107556673148",64182,47.6,60043,5726,29255,93.5511514131688,8.92150447165872
"14","Centre",-1.88,2,-0.77,5,2019,"0","37",162385,33.4,142448,21785,26855,87.722388151615,13.4156479970441
"15","Chester",-1.83,3,-0.95,3,2019,"0","37",524989,40.4,431961,114996,46870,82.2800096763932,21.9044589505685
"16","Clarion",0.18,37,0.17,46,2019,"7930839","18.477108285769",NA,NA,NA,NA,NA,NA,NA
"17","Clearfield",0.16,35,0.27,48,2019,"59160819","15.4608759726602",79255,45.7,74153,6167,25728,93.5625512585957,7.78121254179547
"18","Clinton",-0.67,11,0.07,38,2019,"0","37",NA,NA,NA,NA,NA,NA,NA
"19","Columbia",0.33,45,0.02,30,2019,"5428751","17.6098551950531",64964,41.5,61974,6975,30054,95.3974508958808,10.7367157194754
"20","Crawford",0.25,41,0.09,40,2019,"0","37",84629,43.9,80721,8054,27158,95.382197591842,9.51683229153127
"21","Cumberland",-1.03,5,-0.91,4,2019,"0","37",253370,41.3,220155,42061,38476,86.8907131862494,16.6006235939535
"22","Dauphin",0.4,49,0.1,42,2019,"2611193","12.5114011105268",278299,39.6,192332,38007,33636,69.1098422919234,13.6568942037161
"23","Delaware",0.35,47,-0.42,11,2019,"0","37",566747,39,383843,91180,36907,67.7273986452509,16.0883074811159
"24","Elk",-0.19,23,-0.39,12,2019,"6945534","18.3307248945869",NA,NA,NA,NA,NA,NA,NA
"25","Erie",0.5,55,0.32,53,2019,"0","37",269728,40.2,231216,34869,28179,85.7219124451299,12.9274676711354
