"County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
"Adams",-0.34,21,-0.59,7,2010
"Allegheny",0.32,49,-0.04,26,2010
"Armstrong",0.74,58,0.32,55,2010
"Beaver",0.19,44,-0.08,25,2010
"Bedford",-0.06,31,0.07,35,2010
"Berks",-0.49,16,-0.11,23,2010
"Blair",0.95,63,0.05,33,2010
"Bradford",-0.64,12,-0.11,22,2010
"Bucks",-0.94,7,-0.94,3,2010
"Butler",-0.71,11,-0.66,6,2010
"Cambria",1.02,64,0.21,51,2010
"Cameron",0.13,40,0.31,53,2010
"Carbon",0.61,56,0.45,62,2010
"Centre",-1.53,2,-0.59,8,2010
"Chester",-1.53,1,-1.18,1,2010
"Clarion",0.16,42,0.11,41,2010
"Clearfield",0.26,45,0.27,52,2010
"Clinton",0.02,34,0.07,36,2010
"Columbia",-0.54,14,-0.03,27,2010
"Crawford",-0.02,33,0.14,43,2010
"Cumberland",-0.83,9,-0.78,4,2010
"Dauphin",0.29,47,0.07,34,2010
"Delaware",0.07,36,-0.26,14,2010
"Elk",0.74,59,0.13,42,2010
"Erie",-0.09,30,0.43,61,2010
"Fayette",1.19,65,0.84,66,2010
"Forest",0.55,53,0.62,65,2010
"Franklin",-0.79,10,-0.28,13,2010
"Fulton",-0.19,27,0.58,64,2010
"Greene",1.21,66,0.48,63,2010
"Huntingdon",0.08,37,-0.09,24,2010
"Indiana",-0.42,17,0.21,49,2010
"Jefferson",-0.37,20,0.02,29,2010
"Juniata",-0.12,28,0.03,30,2010
"Lackawanna",0.45,51,-0.15,19,2010
"Lancaster",-0.91,8,-0.53,9,2010
"Lawrence",0.88,61,0.21,50,2010
"Lebanon",-0.54,15,-0.25,15,2010
"Lehigh",-0.38,19,-0.21,17,2010
"Luzerne",0.62,57,0.08,37,2010
"Lycoming",-0.33,23,0.01,28,2010
"McKean",0.41,50,0.31,54,2010
"Mercer",0.52,52,0.32,56,2010
"Mifflin",0.31,48,0.15,45,2010
