"","County","totpop","medage","totpoprace","totpopwhite","totpopeduc","bachdegree","medincome","perc.white","perc.bachdegree","year"
"1","Adams",101105,37.6,101105,93264,67776,7652,26072,92.2446961080065,7.56836951683893,2006
"2","Allegheny",1223411,41.7,1223411,1012469,846948,164009,24140,82.7578794043866,13.4058791362837,2006
"3","Armstrong",70096,43.1,0,0,50481,4886,21469,0,6.9704405386898,2006
"4","Beaver",175736,43.3,175736,161360,124361,15752,22549,91.8195475030728,8.96344516775163,2006
"5","Berks",401149,38.1,401149,340569,267392,38096,25306,84.8983794051587,9.49672066987578,2006
"6","Blair",126494,40.4,126494,122538,88189,11029,20250,96.8725789365503,8.71899062406122,2006
"7","Bucks",623205,40.2,623205,568408,424273,91633,32451,91.2072271563932,14.7035084763441,2006
"8","Butler",182901,40.2,182901,178113,123458,23823,24600,97.3821903652796,13.0250791411747,2006
"9","Cambria",146967,42.5,146967,139861,103773,10315,18859,95.164900964162,7.01858240285234,2006
"10","Centre",140953,29.3,140953,126712,78781,15516,16513,89.8966322107369,11.0079246273581,2006
"11","Chester",482112,38.2,482112,423030,317806,90401,34664,87.7451712465153,18.7510371034117,2006
"12","Clearfield",82442,41.3,0,0,59220,4096,18356,0,4.968341379394,2006
"13","Columbia",65014,38.3,65014,63052,43078,4670,18338,96.9821884517181,7.18306826222044,2006
"14","Crawford",89389,39.3,89389,86123,60418,5904,18268,96.3463065925338,6.60483952164136,2006
"15","Cumberland",226117,40,226117,210628,154448,29265,27272,93.1500064126094,12.9424147675761,2006
"16","Dauphin",254176,39.9,254176,191946,176044,28441,26984,75.5169646229384,11.1894907465693,2006
"17","Delaware",555996,38.8,555996,418865,362858,71471,28719,75.3359736400981,12.8545888819344,2006
"18","Erie",279811,38.3,279811,251757,183586,25769,20639,89.9739466997366,9.20943065140398,2006
"19","Fayette",145760,41.4,0,0,104248,10046,16730,0,6.89215148188804,2006
"20","Franklin",139991,39.6,139991,132582,97660,9998,26041,94.7075169118015,7.14188769278025,2006
"21","Indiana",88234,37.7,88234,84940,55915,5970,17252,96.2667452455969,6.76609923612213,2006
"22","Lackawanna",209728,41.6,209728,200126,145278,20138,20766,95.4216890448581,9.60196063472688,2006
"23","Lancaster",494486,37.5,494486,450731,325513,49725,26413,91.1514178358943,10.0558964257835,2006
"24","Lawrence",91795,42.9,0,0,63837,7411,20591,0,8.07342447845743,2006
"25","Lebanon",126883,39.9,126883,116114,88206,10514,25290,91.5126533893429,8.28637406114294,2006
"26","Lehigh",335544,38.9,335544,273984,227821,34693,25132,81.6536728417138,10.3393295663162,2006
"27","Luzerne",313020,42.3,313020,296635,221953,27885,21178,94.7655101910421,8.90837646156795,2006
"28","Lycoming",117668,40.9,117668,109893,80098,10808,19604,93.3924261481456,9.18516504062277,2006
"29","Mercer",118551,41,118551,109862,81507,10165,20022,92.6706649458883,8.5743688370406,2006
"30","Monroe",165685,37.5,165685,134688,107596,18916,23242,81.2916075685789,11.416845218336,2006
"31","Montgomery",775688,40.1,775688,656682,529661,136016,35023,84.6580068274873,17.5348851600128,2006
"32","Northampton",291306,39.4,291306,255291,197839,31036,26673,87.6367119111862,10.6540888275559,2006
"33","Northumberland",91654,42.5,91654,88358,66143,5535,20329,96.4038667161281,6.03901630043424,2006
"34","Philadelphia",1448394,35.4,1448394,605796,922548,110680,20117,41.8253596742323,7.64156714264213,2006
"35","Schuylkill",147405,42,147405,140684,107206,7969,20099,95.4404531732302,5.40619381974831,2006
"36","Somerset",78508,42.2,0,0,56918,4475,17287,0,5.7000560452438,2006
"37","Washington",206432,42.4,206432,195685,145764,22635,23730,94.7939272980933,10.9648697876298,2006
"38","Westmoreland",366440,43.3,366440,351771,262642,41790,22698,95.9968889859186,11.4043226721974,2006
"39","York",416322,39.4,416322,381658,286071,39851,27073,91.6737525280912,9.57215808917136,2006
