"","County","totpop","medage","totpoprace","totpopwhite","totpopeduc","bachdegree","medincome","perc.white","perc.bachdegree"
"1","Adams",102180,44.2,102180,94434,71649,8730,28464,92.4192601291838,8.54374633000587
"2","Allegheny",1225365,40.6,1225365,982979,883649,219225,31154,80.2192816018084,17.8905877024397
"3","Armstrong",66486,46.5,0,0,49294,5119,25016,0,7.69936527990855
"4","Beaver",167429,44.9,167429,151718,122808,21747,30085,90.6163209479839,12.9887892778431
"5","Berks",414812,40.1,414812,343554,280522,45234,29456,82.8216155752485,10.9046989961718
"6","Blair",124650,43.8,124650,119127,89160,11654,25271,95.5691937424789,9.34937825912555
"7","Bucks",626399,43.7,626399,551410,445411,106851,36610,88.0285568782837,17.0579774233356
"8","Butler",186847,43.3,186847,179023,132863,30336,33678,95.8126167398995,16.2357436833345
"9","Cambria",134732,45.1,134732,126107,96044,12968,24922,93.598402755099,9.6250333996378
"10","Carbon",63594,46.2,0,0,47157,5329,29072,0,8.37972135736076
"11","Centre",161464,31.7,161464,142112,99337,26310,25482,88.0146658078581,16.2946539166625
"12","Chester",516312,40.3,516312,440376,349419,109120,40405,85.2926137684191,21.1345078169789
"13","Clearfield",80596,44.8,80596,76391,59403,5199,22306,94.782619484838,6.45069234205171
"14","Columbia",66420,40.6,66420,62704,43741,5973,25729,94.4052996085516,8.99277326106594
"15","Crawford",86257,42.7,86257,82613,59971,7545,25268,95.775415328611,8.74711617607846
"16","Cumberland",248506,40.2,248506,218262,174144,39732,33440,87.8296701085688,15.9883463578344
"17","Dauphin",273707,39.6,273707,193791,189682,38404,32636,70.8023543424173,14.0310624134567
"18","Delaware",563402,39,563402,389846,380990,84121,33813,69.1949975328451,14.9309019137312
"19","Erie",276207,39.2,276207,241733,188454,34587,25588,87.5187812039521,12.5221301415243
"20","Fayette",132733,44.8,132733,122730,97293,11190,22798,92.4638183420852,8.43045813776529
"21","Franklin",153851,41.8,153851,142799,106597,13925,31223,92.8164262825721,9.05096489460582
"22","Indiana",86364,39.7,86364,81885,56494,7167,21266,94.8138113102682,8.29859663748784
"23","Lackawanna",211321,41.7,211321,193832,149504,25077,25954,91.723964963255,11.8667808689151
"24","Lancaster",538500,38.2,538500,481798,360762,58556,30177,89.4703806870938,10.8739090064995
"25","Lawrence",87294,45,87294,81410,62570,9014,25535,93.2595596490022,10.3260246981465
"26","Lebanon",138863,41.2,138863,120894,94270,12637,28036,87.059907966845,9.10033630268682
"27","Lehigh",363147,39,363147,286600,247963,45139,30974,78.9212082159566,12.4299526087232
"28","Luzerne",316383,43.1,316383,285321,226048,33130,26160,90.1821526441054,10.4714855096513
"29","Lycoming",115248,40.6,115248,106461,80588,11087,25525,92.3755726780508,9.62012355962793
"30","Mercer",112913,45.1,112913,103190,79823,10153,24807,91.3889454712921,8.99187870307228
"31","Monroe",166098,41.9,166098,124741,113148,18361,28541,75.100844080001,11.0543173307325
"32","Montgomery",821725,41.4,821725,654626,576833,158426,40175,79.6648513797195,19.279686026347
"33","Northampton",302294,41.6,302294,262942,211011,39593,30651,86.9822093723329,13.0975143403442
"34","Northumberland",92541,44.7,92541,87742,67758,7897,25582,94.8141904669282,8.53351487448806
"35","Philadelphia",1567872,34.1,1567872,634111,1057805,178859,24659,40.4440541064577,11.4077552249163
"36","Schuylkill",143573,44.4,143573,133893,105640,10268,27005,93.2577852381715,7.15176251802219
"37","Somerset",75061,45.7,75061,71676,55951,6062,24784,95.4903345279173,8.07609810687308
"38","Washington",207981,44.6,207981,194397,149408,29940,30029,93.4686341540814,14.3955457469673
"39","Westmoreland",355458,46.7,355458,336698,261528,46507,29690,94.7223019315925,13.0836835856838
"40","York",443744,41.2,443744,391834,308230,48456,31088,88.3018136583255,10.9198096199611
