FIPS,State,County,Health Outcomes Z-Score,Health Outcomes Rank,Health Factors Z-Score,Health Factors Rank,year
42001,Pennsylvania,Adams,-0.39,17,-0.55,8,2012
42003,Pennsylvania,Allegheny,0.24,44,-0.18,21,2012
42005,Pennsylvania,Armstrong,0.11,41,0.48,63,2012
42007,Pennsylvania,Beaver,0.2,43,0.08,32,2012
42009,Pennsylvania,Bedford,-0.34,20,0.14,39,2012
42011,Pennsylvania,Berks,-0.58,14,-0.12,26,2012
42013,Pennsylvania,Blair,0.65,56,-0.01,29,2012
42015,Pennsylvania,Bradford,-0.34,19,-0.15,23,2012
42017,Pennsylvania,Bucks,-1.1,7,-0.96,4,2012
42019,Pennsylvania,Butler,-0.82,10,-0.78,7,2012
42021,Pennsylvania,Cambria,1.19,63,0.35,56,2012
42023,Pennsylvania,Cameron,0.73,59,0.48,62,2012
42025,Pennsylvania,Carbon,0.38,49,0.48,61,2012
42027,Pennsylvania,Centre,-1.22,4,-1.08,3,2012
42029,Pennsylvania,Chester,-1.57,2,-1.29,1,2012
42031,Pennsylvania,Clarion,0.03,33,0.19,43,2012
42033,Pennsylvania,Clearfield,0.09,38,0.13,37,2012
42035,Pennsylvania,Clinton,-0.23,27,0.31,52,2012
42037,Pennsylvania,Columbia,-0.28,24,0.15,42,2012
42039,Pennsylvania,Crawford,0.11,42,0.08,33,2012
42041,Pennsylvania,Cumberland,-1.03,8,-0.94,5,2012
42043,Pennsylvania,Dauphin,0.25,46,0.24,45,2012
42045,Pennsylvania,Delaware,0.09,37,-0.36,13,2012
42047,Pennsylvania,Elk,0.92,62,0.11,35,2012
42049,Pennsylvania,Erie,0.09,40,0.23,44,2012
42051,Pennsylvania,Fayette,1.21,65,1.08,66,2012
42053,Pennsylvania,Forest,0.73,58,0.57,65,2012
42055,Pennsylvania,Franklin,-0.71,11,-0.23,17,2012
42057,Pennsylvania,Fulton,-0.1,30,0.44,60,2012
42059,Pennsylvania,Greene,1.36,66,0.39,57,2012
42061,Pennsylvania,Huntingdon,-0.25,26,0.15,41,2012
42063,Pennsylvania,Indiana,-0.13,29,0.04,30,2012
42065,Pennsylvania,Jefferson,0.74,60,0.42,58,2012
42067,Pennsylvania,Juniata,-1.32,3,-0.32,14,2012
42069,Pennsylvania,Lackawanna,0.44,51,-0.08,27,2012
42071,Pennsylvania,Lancaster,-0.89,9,-0.5,9,2012
42073,Pennsylvania,Lawrence,0.49,53,0.28,49,2012
42075,Pennsylvania,Lebanon,-0.45,15,-0.3,15,2012
42077,Pennsylvania,Lehigh,-0.29,23,-0.12,25,2012
42079,Pennsylvania,Luzerne,0.84,61,0.31,53,2012
42081,Pennsylvania,Lycoming,-0.37,18,0.11,34,2012
42083,Pennsylvania,McKean,0.25,45,0.56,64,2012
42085,Pennsylvania,Mercer,0.4,50,0.32,54,2012
42087,Pennsylvania,Mifflin,0.03,32,0.3,51,2012
42089,Pennsylvania,Monroe,0.06,36,0.14,40,2012
42091,Pennsylvania,Montgomery,-1.19,5,-1.17,2,2012
42093,Pennsylvania,Montour,-0.14,28,-0.8,6,2012
42095,Pennsylvania,Northampton,-0.26,25,-0.4,10,2012
42097,Pennsylvania,Northumberland,0.29,47,0.35,55,2012
42099,Pennsylvania,Perry,0.05,34,-0.15,24,2012
42101,Pennsylvania,Philadelphia,3.2,67,1.79,67,2012
42103,Pennsylvania,Pike,-0.58,13,-0.39,11,2012
42105,Pennsylvania,Potter,0.61,55,0.27,48,2012
42107,Pennsylvania,Schuylkill,0.67,57,0.43,59,2012
42109,Pennsylvania,Snyder,-1.18,6,-0.22,19,2012
42111,Pennsylvania,Somerset,-0.3,22,0.24,46,2012
42113,Pennsylvania,Sullivan,1.21,64,0.25,47,2012
42115,Pennsylvania,Susquehanna,0.46,52,0.13,38,2012
42117,Pennsylvania,Tioga,-0.68,12,-0.02,28,2012
42119,Pennsylvania,Union,-1.64,1,-0.27,16,2012
42121,Pennsylvania,Venango,0.06,35,0.12,36,2012
42123,Pennsylvania,Warren,0.09,39,0.28,50,2012
42125,Pennsylvania,Washington,-0.09,31,-0.18,22,2012
42127,Pennsylvania,Wayne,0.54,54,-0.2,20,2012
42129,Pennsylvania,Westmoreland,-0.31,21,-0.38,12,2012
42131,Pennsylvania,Wyoming,0.34,48,0.06,31,2012
42133,Pennsylvania,York,-0.39,16,-0.22,18,2012
