Year,MSHA ID,Mine Name,Mine State,Mine County,Mine Status,Mine Type,Company Type,Operation Type,Operating Company,Operating Company Address,Union Code,Coal Supply Region,Production (short tons),Average Employees,Labor Hours
2017,103381,Jesse Creek H.W.M.,Alabama,Bibb,Active,Surface,Indepedent Producer Operator,Mine only,"Jesse Creek Mining, Llc","1615 Kent Dairy Rd, Alabaster, AL 35007",,Appalachia Southern,"88,362",5,"8,694"
2017,103246,Bear Creek,Alabama,Franklin,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Birmingham Coal & Coke Company,"912 Edenton Street, Birmingham, AL 35242",,Appalachia Southern,"7,063",9,"8,492"
2017,100329,Concord Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Preparation Plant,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,49,"83,792"
2017,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,"Cedar Lake Mining, Inc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"307,234",42,"125,547"
2017,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Oak Grove Resources Llc,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,"1,403,123",351,"556,133"
2017,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,"4,864,828",796,"2,052,318"
2017,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Cane Creek, Llc","P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,7,"19,502"
2017,103180,Sloan Mountain Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,M S & R Equipment Company Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"228,365",48,"120,178"
2017,103285,Narley Mine,Alabama,Jefferson,Active,Surface,Indepedent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,"10,594",9,"21,471"
2017,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Indepedent Producer Operator,Mine only,Alaco L.L.C.,"218 Highway 195, Jasper, AL 35503",,Appalachia Southern,"197,866",37,"89,543"
