"FIPS","State","County","Health.Outcomes.Z.Score","Health.Outcomes.Rank","Health.Factors.Z.Score","Health.Factors.Rank","year"
42001,"Pennsylvania","Adams",-0.34,21,-0.59,7,2010
42003,"Pennsylvania","Allegheny",0.32,49,-0.04,26,2010
42005,"Pennsylvania","Armstrong",0.74,58,0.32,55,2010
42007,"Pennsylvania","Beaver",0.19,44,-0.08,25,2010
42009,"Pennsylvania","Bedford",-0.06,31,0.07,35,2010
42011,"Pennsylvania","Berks",-0.49,16,-0.11,23,2010
42013,"Pennsylvania","Blair",0.95,63,0.05,33,2010
42015,"Pennsylvania","Bradford",-0.64,12,-0.11,22,2010
42017,"Pennsylvania","Bucks",-0.94,7,-0.94,3,2010
42019,"Pennsylvania","Butler",-0.71,11,-0.66,6,2010
42021,"Pennsylvania","Cambria",1.02,64,0.21,51,2010
42023,"Pennsylvania","Cameron",0.13,40,0.31,53,2010
42025,"Pennsylvania","Carbon",0.61,56,0.45,62,2010
42027,"Pennsylvania","Centre",-1.53,2,-0.59,8,2010
42029,"Pennsylvania","Chester",-1.53,1,-1.18,1,2010
42031,"Pennsylvania","Clarion",0.16,42,0.11,41,2010
42033,"Pennsylvania","Clearfield",0.26,45,0.27,52,2010
42035,"Pennsylvania","Clinton",0.02,34,0.07,36,2010
42037,"Pennsylvania","Columbia",-0.54,14,-0.03,27,2010
42039,"Pennsylvania","Crawford",-0.02,33,0.14,43,2010
42041,"Pennsylvania","Cumberland",-0.83,9,-0.78,4,2010
42043,"Pennsylvania","Dauphin",0.29,47,0.07,34,2010
42045,"Pennsylvania","Delaware",0.07,36,-0.26,14,2010
42047,"Pennsylvania","Elk",0.74,59,0.13,42,2010
42049,"Pennsylvania","Erie",-0.09,30,0.43,61,2010
42051,"Pennsylvania","Fayette",1.19,65,0.84,66,2010
42053,"Pennsylvania","Forest",0.55,53,0.62,65,2010
42055,"Pennsylvania","Franklin",-0.79,10,-0.28,13,2010
42057,"Pennsylvania","Fulton",-0.19,27,0.58,64,2010
42059,"Pennsylvania","Greene",1.21,66,0.48,63,2010
42061,"Pennsylvania","Huntingdon",0.08,37,-0.09,24,2010
42063,"Pennsylvania","Indiana",-0.42,17,0.21,49,2010
42065,"Pennsylvania","Jefferson",-0.37,20,0.02,29,2010
42067,"Pennsylvania","Juniata",-0.12,28,0.03,30,2010
42069,"Pennsylvania","Lackawanna",0.45,51,-0.15,19,2010
42071,"Pennsylvania","Lancaster",-0.91,8,-0.53,9,2010
42073,"Pennsylvania","Lawrence",0.88,61,0.21,50,2010
42075,"Pennsylvania","Lebanon",-0.54,15,-0.25,15,2010
42077,"Pennsylvania","Lehigh",-0.38,19,-0.21,17,2010
42079,"Pennsylvania","Luzerne",0.62,57,0.08,37,2010
42081,"Pennsylvania","Lycoming",-0.33,23,0.01,28,2010
42083,"Pennsylvania","McKean",0.41,50,0.31,54,2010
42085,"Pennsylvania","Mercer",0.52,52,0.32,56,2010
42087,"Pennsylvania","Mifflin",0.31,48,0.15,45,2010
42089,"Pennsylvania","Monroe",0.28,46,0.09,40,2010
42091,"Pennsylvania","Montgomery",-1.1,5,-1.12,2,2010
42093,"Pennsylvania","Montour",0.11,39,-0.73,5,2010
42095,"Pennsylvania","Northampton",-0.22,26,-0.31,12,2010
42097,"Pennsylvania","Northumberland",0.59,55,0.34,59,2010
42099,"Pennsylvania","Perry",0.07,35,0.05,32,2010
42101,"Pennsylvania","Philadelphia",3.43,67,1.49,67,2010
42103,"Pennsylvania","Pike",-1.03,6,-0.15,20,2010
42105,"Pennsylvania","Potter",-0.28,24,0.09,39,2010
42107,"Pennsylvania","Schuylkill",0.75,60,0.38,60,2010
42109,"Pennsylvania","Snyder",-1.27,4,-0.16,18,2010
42111,"Pennsylvania","Somerset",-0.03,32,0.17,47,2010
42113,"Pennsylvania","Sullivan",0.1,38,0.33,58,2010
42115,"Pennsylvania","Susquehanna",0.15,41,0.04,31,2010
42117,"Pennsylvania","Tioga",-0.33,22,0.33,57,2010
42119,"Pennsylvania","Union",-1.4,3,-0.32,11,2010
42121,"Pennsylvania","Venango",0.59,54,0.15,44,2010
42123,"Pennsylvania","Warren",-0.6,13,0.2,48,2010
42125,"Pennsylvania","Washington",-0.12,29,0.09,38,2010
42127,"Pennsylvania","Wayne",0.9,62,-0.13,21,2010
42129,"Pennsylvania","Westmoreland",-0.41,18,-0.35,10,2010
42131,"Pennsylvania","Wyoming",0.16,43,0.16,46,2010
42133,"Pennsylvania","York",-0.27,25,-0.25,16,2010
42001,"Pennsylvania","Adams",-0.26,24,-0.51,8,2011
42003,"Pennsylvania","Allegheny",0.25,42,-0.12,23,2011
42005,"Pennsylvania","Armstrong",0.42,52,0.09,35,2011
42007,"Pennsylvania","Beaver",0.36,50,-0.14,22,2011
42009,"Pennsylvania","Bedford",-0.4,18,0.16,45,2011
42011,"Pennsylvania","Berks",-0.51,15,-0.15,20,2011
42013,"Pennsylvania","Blair",0.79,62,0.16,42,2011
42015,"Pennsylvania","Bradford",-0.64,12,0.09,36,2011
42017,"Pennsylvania","Bucks",-1.01,6,-0.91,4,2011
42019,"Pennsylvania","Butler",-0.78,11,-0.78,6,2011
42021,"Pennsylvania","Cambria",1.19,64,0.16,44,2011
42023,"Pennsylvania","Cameron",0.76,61,0.4,62,2011
42025,"Pennsylvania","Carbon",0.65,58,0.26,53,2011
42027,"Pennsylvania","Centre",-1.46,2,-0.72,7,2011
42029,"Pennsylvania","Chester",-1.46,3,-1.26,1,2011
42031,"Pennsylvania","Clarion",0.32,48,0.16,43,2011
42033,"Pennsylvania","Clearfield",0.25,43,0.31,56,2011
42035,"Pennsylvania","Clinton",-0.13,31,0.18,47,2011
42037,"Pennsylvania","Columbia",-0.49,16,-0.02,26,2011
42039,"Pennsylvania","Crawford",0.18,39,0.14,39,2011
42041,"Pennsylvania","Cumberland",-0.91,8,-0.86,5,2011
42043,"Pennsylvania","Dauphin",0.18,38,0.06,31,2011
42045,"Pennsylvania","Delaware",0.06,36,-0.32,12,2011
42047,"Pennsylvania","Elk",0.76,60,0.23,49,2011
42049,"Pennsylvania","Erie",0.04,35,0.28,55,2011
42051,"Pennsylvania","Fayette",1.14,63,0.91,66,2011
42053,"Pennsylvania","Forest",0.13,37,0.7,65,2011
42055,"Pennsylvania","Franklin",-0.79,10,-0.18,17,2011
42057,"Pennsylvania","Fulton",-0.15,30,0.58,63,2011
42059,"Pennsylvania","Greene",1.21,65,0.37,59,2011
42061,"Pennsylvania","Huntingdon",-0.07,32,-0.11,24,2011
42063,"Pennsylvania","Indiana",-0.41,17,-0.01,27,2011
42065,"Pennsylvania","Jefferson",0.26,45,0.12,38,2011
42067,"Pennsylvania","Juniata",-0.83,9,-0.1,25,2011
42069,"Pennsylvania","Lackawanna",0.33,49,-0.15,19,2011
42071,"Pennsylvania","Lancaster",-0.93,7,-0.45,9,2011
42073,"Pennsylvania","Lawrence",0.5,54,0.07,33,2011
42075,"Pennsylvania","Lebanon",-0.63,13,-0.32,13,2011
42077,"Pennsylvania","Lehigh",-0.26,25,-0.21,15,2011
42079,"Pennsylvania","Luzerne",0.75,59,0.03,30,2011
42081,"Pennsylvania","Lycoming",-0.22,26,0.02,28,2011
42083,"Pennsylvania","McKean",0.26,44,0.65,64,2011
42085,"Pennsylvania","Mercer",0.55,55,0.33,58,2011
42087,"Pennsylvania","Mifflin",0,34,0.24,50,2011
42089,"Pennsylvania","Monroe",0.19,41,0.09,37,2011
42091,"Pennsylvania","Montgomery",-1.16,5,-1.12,2,2011
42093,"Pennsylvania","Montour",0.28,47,-0.94,3,2011
42095,"Pennsylvania","Northampton",-0.2,27,-0.44,10,2011
42097,"Pennsylvania","Northumberland",0.48,53,0.2,48,2011
42099,"Pennsylvania","Perry",-0.3,22,0.06,32,2011
42101,"Pennsylvania","Philadelphia",3.28,67,1.52,67,2011
42103,"Pennsylvania","Pike",-0.6,14,-0.15,21,2011
42105,"Pennsylvania","Potter",-0.15,29,0.14,40,2011
42107,"Pennsylvania","Schuylkill",0.63,56,0.39,61,2011
42109,"Pennsylvania","Snyder",-1.18,4,-0.18,18,2011
42111,"Pennsylvania","Somerset",-0.04,33,0.24,51,2011
42113,"Pennsylvania","Sullivan",1.3,66,0.37,60,2011
42115,"Pennsylvania","Susquehanna",0.26,46,0.15,41,2011
42117,"Pennsylvania","Tioga",-0.32,21,0.24,52,2011
42119,"Pennsylvania","Union",-1.51,1,-0.2,16,2011
