"","GEOID","NAME","variable","estimate","moe"
"1","42001","Adams County, Pennsylvania","totpop",95850,0
"2","42001","Adams County, Pennsylvania","medage",38.6,0.8
"3","42001","Adams County, Pennsylvania","bachdegree",7172,1054
"4","42001","Adams County, Pennsylvania","medincome",25821,1030
"5","42003","Allegheny County, Pennsylvania","totpop",1195503,0
"6","42003","Allegheny County, Pennsylvania","medage",41.4,0.3
"7","42003","Allegheny County, Pennsylvania","bachdegree",167355,5778
"8","42003","Allegheny County, Pennsylvania","medincome",24309,452
"9","42005","Armstrong County, Pennsylvania","totpop",69501,0
"10","42005","Armstrong County, Pennsylvania","medage",42,0.6
"11","42005","Armstrong County, Pennsylvania","bachdegree",4598,732
"12","42005","Armstrong County, Pennsylvania","medincome",19167,1020
"13","42007","Beaver County, Pennsylvania","totpop",173086,0
"14","42007","Beaver County, Pennsylvania","medage",42.8,0.5
"15","42007","Beaver County, Pennsylvania","bachdegree",15326,1769
"16","42007","Beaver County, Pennsylvania","medincome",22034,970
"17","42011","Berks County, Pennsylvania","totpop",382917,0
"18","42011","Berks County, Pennsylvania","medage",38.4,0.3
"19","42011","Berks County, Pennsylvania","bachdegree",38063,3114
"20","42011","Berks County, Pennsylvania","medincome",25416,798
"21","42013","Blair County, Pennsylvania","totpop",122717,0
"22","42013","Blair County, Pennsylvania","medage",40.7,0.6
"23","42013","Blair County, Pennsylvania","bachdegree",9532,1233
"24","42013","Blair County, Pennsylvania","medincome",19844,870
"25","42017","Bucks County, Pennsylvania","totpop",612210,0
"26","42017","Bucks County, Pennsylvania","medage",40,0.3
"27","42017","Bucks County, Pennsylvania","bachdegree",90751,4760
"28","42017","Bucks County, Pennsylvania","medincome",32167,625
"29","42019","Butler County, Pennsylvania","totpop",175561,0
"30","42019","Butler County, Pennsylvania","medage",39.4,0.4
"31","42019","Butler County, Pennsylvania","bachdegree",24124,2334
"32","42019","Butler County, Pennsylvania","medincome",25092,1118
"33","42021","Cambria County, Pennsylvania","totpop",138963,0
"34","42021","Cambria County, Pennsylvania","medage",43.9,0.7
