OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentText,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
SAN,Schuylkill Action Network (Pennsylvania),SAN-US99200157-7-19911106-0,Sample,11/6/1991,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210093.0000000000,,Iron,Dissolved,210,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US99200157-7-19911106-0,Sample,11/6/1991,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210094.0000000000,,Manganese,Dissolved,1900,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US99200157-7-19911106-0,Sample,11/6/1991,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210090.0000000000,*Non-detect,Aluminum,Dissolved,,,,I1054,USDOI/USGS,,,,,,100,ug/l,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US99200157-7-19911106-0,Sample,11/6/1991,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065210095.0000000000,,Sulfate as SO4,Dissolved,520,mg/l,,I2057,USDOI/USGS,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS1999GDMOND1-0,Sample,10/5/1999,WAPINST1,,211WVOWR-M-008-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007801579.0000000000,,Aluminum,Total,57000,ug/l,This value could be in violation of Water Quality Standards.,,,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS1999GDMOND1-0,Sample,10/5/1999,WAPINST1,,211WVOWR-M-008-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007801581.0000000000,,Manganese,Total,3770,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-METAL01-INVS1999GDMOND1-0,Sample,10/5/1999,WAPINST1,,211WVOWR-M-008-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007801580.0000000000,,Iron,Total,185000,ug/l,This value could be in violation of Water Quality Standards.,200.7(W),USEPA,,,,,,,,,,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-SAMPLE01-INVS1999GDMOND1-0,Sample,10/5/1999,WAPINST1,,211WVOWR-M-008-0019,,,,GRAB01,GRAB01,GRAB01,,Unknown,STORET-100007801577.0000000000,,Sulfate as SO4,Total,1750,mg/l,,375.4,USEPA,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209374.0000000000,,Iron,Total,20000,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209373.0000000000,,Iron,Dissolved,18700,ug/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
SAN,Schuylkill Action Network (Pennsylvania),SAN-US00000692-7-20000222-0,Sample,2/22/2000,PINFOR,,SAN-PINFIN,,,,USGS,USGS,USGS,,Unknown,STORET-100065209358.0000000000,,Potassium,Dissolved,1.1,mg/l,,I1472,USDOI/USGS,,,,,,,,,,STORET
