OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,ProviderName
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-K-049-0014,"Mine Discharge Dry Branch east of Port Amherst, W.Va.",Mine/Mine Discharge,"Mine Discharge Dry Branch east of Port Amherst, W.Va.",5050006,38.3198056,-81.5536667,24000,GPS-Unspecified,NAD27,,US,54,39,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-K-053-0010,"Mine Seep Left Fork Lens Creek east of Hernsshaw, W.Va.",Mine/Mine Discharge,"Mine Seep Left Fork Lens Creek east of Hernsshaw, W.Va.",5050006,38.1956111,-81.5804167,24000,GPS-Unspecified,NAD27,,US,54,39,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KE-026-0008,"Mine Seep Left Fork southeast of Turner, W.Va.",Mine/Mine Discharge,"First Mine Seep of Left Fork of Morris Creek 0.6 Mile Southeast of Community of Turner, Kanawha County, West VirginiaÂ¶<** Clendenin  WV Topographic Map **>",5050007,38.4708333,-81.3069444,24000,Interpolation-Map,NAD27,Unknown,US,54,39,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KE-026-0009,"2nd Mine Seep Left Fork southeast of Turner, W.Va.",Mine/Mine Discharge,"Second Mine Seep of Left Fork of Morris Creek 0.6 Mile Southeast of Community of Turner, Kanawha County, West Virginia.Â¶<** Clendenin  WV Topographic Map **>",5050007,38.4702778,-81.3072222,24000,Interpolation-Map,NAD27,Unknown,US,54,39,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KP-001-0041,"Mine Discharge Hezier Creek northeast of Poca, W.Va.",Mine/Mine Discharge,"Mine Discharge at Mile Point 2.2 of Hezier Creek northeast of Town of Poca, Putnam County, West Virginia.Â¶<** Saint Albans Topographic Map **>",5050008,38.4985833,-81.7830277,24000,GPS-Unspecified,NAD27,Unknown,US,54,79,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KP-001-0042,"Mine Seep No. 1 Hezier Creek south of Hezier, W.Va.",Mine/Mine Discharge,"Mine Seep Number 1 at Mile Point 3.55 of Hezier Creek south of Community of Hezier, Putnam County, West VirginiaÂ¶<** Brancroft WV Topographic Map **>",5050008,38.5102777,-81.7779166,24000,GPS-Unspecified,NAD27,Unknown,US,54,79,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KP-001-0043,"Mine Seep No 2 Hezier Creek south of Hezier, W.Va.",Mine/Mine Discharge,"Mine Seep Number 2 at Mile Point 3.56 of Hezier Creek south of Community of Hezier, Putnam County, West Virginia.Â¶<** Brancroft WV Topographic Map **>",5050008,38.5106666,-81.7785555,24000,GPS-Unspecified,NAD27,Unknown,US,54,79,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KP-001-0045,"Mine Drainage Manila Creek north of Poca, W.Va.",Mine/Mine Discharge,"Mine Drainage at Mile Point 2.0 of Manila Creek north of Town of Poca, Putnam County, West VirginiaÂ¶<** Brancroft WV Topographic Map **>",5050008,38.5118055,-81.8014722,24000,GPS-Unspecified,NAD27,Unknown,US,54,79,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KP-001-0046,"Mine Discharge Manila Creek north of Poca, W.Va.",Mine/Mine Discharge,"Mine Discharge at Mile Point 2.2 of Manila Creek north of Town of Poca, Putnam County, West Virginia.Â¶<** Brancroft WV Topographic Map **>",5050008,38.5143888,-81.8015555,24000,GPS-Unspecified,NAD27,Unknown,US,54,79,STORET
211WVOWR,"WV Div of Environmental Protection, Office of Water Resource",211WVOWR-KP-001-0047,"Mine Discharge Manila Creek north of Poca, W.Va.",Mine/Mine Discharge,"Mine Discharge at Mile Point 3.1 of Manila Creek north of Town of Poca, Putnam County, West VirginiaÂ¶<** Brancroft WV Topographic Map **>",5050008,38.5217222,-81.809,24000,GPS-Unspecified,NAD27,Unknown,US,54,79,STORET
